visibility,windBearing,temperature,date_time,dewPoint,pressure,apparentTemperature,windSpeed,humidity,id,energy
12.68,209,13.11,2013-10-30T21:00:00Z,9.72,1019.24,13.11,5.51,0.8,MAC000002,0.394
12.57,203,13.14,2013-10-30T22:00:00Z,9.82,1018.89,13.14,5.65,0.8,MAC000002,0.47300000000000003
12.63,206,13.24,2013-10-30T23:00:00Z,9.8,1018.77,13.24,6.14,0.8,MAC000002,0.541
11.64,207,13.11,2013-10-31T00:00:00Z,10.28,1018.59,13.11,6.1,0.83,MAC000002,0.495
8.59,201,12.95,2013-10-31T01:00:00Z,11.14,1018.21,12.95,6.18,0.89,MAC000002,0.36300000000000004
8.82,201,12.23,2013-10-31T02:00:00Z,11.11,1017.99,12.23,5.78,0.93,MAC000002,0.21200000000000002
10.06,208,12.63,2013-10-31T03:00:00Z,11.63,1017.65,12.63,5.45,0.94,MAC000002,0.20700000000000002
10.77,209,13.09,2013-10-31T04:00:00Z,12.09,1017.33,13.09,5.42,0.94,MAC000002,0.20600000000000002
9.09,212,12.66,2013-10-31T05:00:00Z,11.79,1017.16,12.66,4.62,0.95,MAC000002,0.20700000000000002
9.72,217,12.61,2013-10-31T06:00:00Z,11.86,1016.99,12.61,4.34,0.95,MAC000002,0.21400000000000002
9.4,219,12.51,2013-10-31T07:00:00Z,11.49,1017.01,12.51,3.72,0.94,MAC000002,0.22100000000000003
8.75,225,12.09,2013-10-31T08:00:00Z,11.1,1017.37,12.09,3.39,0.94,MAC000002,0.532
7.27,233,11.65,2013-10-31T09:00:00Z,10.5,1017.28,11.65,3.48,0.93,MAC000002,0.30100000000000005
9.19,223,11.61,2013-10-31T10:00:00Z,10.57,1017.03,11.61,3,0.93,MAC000002,1.01
11.73,230,11.69,2013-10-31T11:00:00Z,10.64,1016.87,11.69,3.12,0.93,MAC000002,0.519
11.99,233,12.18,2013-10-31T12:00:00Z,10.44,1016.68,12.18,3.9,0.89,MAC000002,0.20600000000000002
12.13,240,12.59,2013-10-31T13:00:00Z,10.45,1016.39,12.59,4.07,0.87,MAC000002,0.20600000000000002
12.13,234,12.57,2013-10-31T14:00:00Z,10.17,1016.22,12.57,4.18,0.85,MAC000002,0.20500000000000002
12.26,228,12.49,2013-10-31T15:00:00Z,10.24,1015.95,12.49,4.05,0.86,MAC000002,0.21100000000000002
12.62,224,12.47,2013-10-31T16:00:00Z,9.88,1015.98,12.47,4.27,0.84,MAC000002,0.259
14.76,217,12.43,2013-10-31T17:00:00Z,9.82,1015.61,12.43,4.29,0.84,MAC000002,0.466
14.73,215,12.08,2013-10-31T18:00:00Z,9.94,1015.68,12.08,4.75,0.87,MAC000002,0.545
13.84,215,12.52,2013-10-31T19:00:00Z,10.2,1015.48,12.52,4.87,0.86,MAC000002,0.972
14.19,219,12.58,2013-10-31T20:00:00Z,9.7,1015.22,12.58,4.72,0.83,MAC000002,0.47800000000000004
13.29,214,12.51,2013-10-31T21:00:00Z,10.18,1015.14,12.51,4.44,0.86,MAC000002,0.481
12.59,214,12.54,2013-10-31T22:00:00Z,10.43,1014.9,12.54,4.8,0.87,MAC000002,0.462
13.24,215,12.63,2013-10-31T23:00:00Z,10.56,1014.77,12.63,4.84,0.87,MAC000002,0.43900000000000006
12.81,211,12.51,2013-11-01T00:00:00Z,10.7,1014.12,12.51,4.17,0.89,MAC000002,0.376
12.1,210,12.48,2013-11-01T01:00:00Z,10.69,1013.53,12.48,4.01,0.89,MAC000002,0.3
11.86,210,12.64,2013-11-01T02:00:00Z,10.84,1012.81,12.64,4.52,0.89,MAC000002,0.29400000000000004
10.86,214,12.67,2013-11-01T03:00:00Z,10.63,1012.3,12.67,5.06,0.87,MAC000002,0.22400000000000003
12.23,232,13.01,2013-11-01T04:00:00Z,10.94,1011.96,13.01,5.05,0.87,MAC000002,0.21600000000000003
12.12,242,12.46,2013-11-01T05:00:00Z,10.58,1012.01,12.46,4.84,0.88,MAC000002,0.21200000000000002
13.2,242,11.96,2013-11-01T06:00:00Z,10.23,1012.07,11.96,3.52,0.89,MAC000002,0.21200000000000002
12.76,229,11.48,2013-11-01T07:00:00Z,9.99,1012.12,11.48,3.02,0.91,MAC000002,0.20800000000000002
12.91,212,11.53,2013-11-01T08:00:00Z,10.04,1012.34,11.53,2.65,0.91,MAC000002,0.5850000000000001
12.79,202,12.01,2013-11-01T09:00:00Z,10.53,1012.22,12.01,3.11,0.91,MAC000002,0.386
12.13,200,12.67,2013-11-01T10:00:00Z,10.72,1011.56,12.67,3.29,0.88,MAC000002,0.21300000000000002
11.84,195,13.49,2013-11-01T11:00:00Z,11.26,1011.1,13.49,3.51,0.86,MAC000002,0.20800000000000002
11.22,199,13.58,2013-11-01T12:00:00Z,11.54,1010.09,13.58,3.67,0.87,MAC000002,0.22
10.78,211,13.97,2013-11-01T13:00:00Z,12.23,1009.22,13.97,4.56,0.89,MAC000002,0.22
11.2,206,13.34,2013-11-01T14:00:00Z,11.52,1008.4,13.34,4.79,0.89,MAC000002,0.21900000000000003
12.09,203,13.22,2013-11-01T15:00:00Z,10.97,1007.51,13.22,4.7,0.86,MAC000002,0.223
11.81,195,13.09,2013-11-01T16:00:00Z,10.94,1006.84,13.09,3.98,0.87,MAC000002,0.3330000000000001
12.46,180,12.49,2013-11-01T17:00:00Z,10.74,1006.03,12.49,3.02,0.89,MAC000002,0.6579999999999999
11.52,170,12.48,2013-11-01T18:00:00Z,10.88,1005.58,12.48,2.52,0.9,MAC000002,0.587
12.79,152,12.37,2013-11-01T19:00:00Z,10.94,1004.34,12.37,2.34,0.91,MAC000002,1.4569999999999999
10.86,136,11.94,2013-11-01T20:00:00Z,10.71,1003.45,11.94,2.41,0.92,MAC000002,0.528
9.03,112,11.92,2013-11-01T21:00:00Z,10.92,1002.62,11.92,2.04,0.94,MAC000002,0.538
9.51,94,11.54,2013-11-01T22:00:00Z,10.61,1001.7,11.54,1.62,0.94,MAC000002,0.528
6.69,52,11.52,2013-11-01T23:00:00Z,10.61,1001.45,11.52,1.44,0.94,MAC000002,0.47200000000000003
5.17,44,11.41,2013-11-02T00:00:00Z,10.78,1000.95,11.41,1.67,0.96,MAC000002,0.41300000000000003
7.6,25,11.37,2013-11-02T01:00:00Z,10.62,1000.07,11.37,1.52,0.95,MAC000002,0.23500000000000001
5.95,15,11.37,2013-11-02T02:00:00Z,10.39,1000.09,11.37,1.71,0.94,MAC000002,0.225
4.99,29,10.86,2013-11-02T03:00:00Z,10.12,999.79,10.86,1.45,0.95,MAC000002,0.223
5.99,0,10.95,2013-11-02T04:00:00Z,9.96,999.73,10.95,1.32,0.94,MAC000002,0.222
6.07,11,10.84,2013-11-02T05:00:00Z,10.13,999.99,10.84,1.17,0.95,MAC000002,0.21300000000000002
6.05,275,10.79,2013-11-02T06:00:00Z,10.13,1000.4,10.79,1.08,0.96,MAC000002,0.21000000000000002
5.2,239,10.47,2013-11-02T07:00:00Z,9.43,1000.74,10.47,1.42,0.93,MAC000002,0.20900000000000002
5.36,232,10.82,2013-11-02T08:00:00Z,9.83,1001.28,10.82,2.58,0.94,MAC000002,0.265
8.13,222,11.29,2013-11-02T09:00:00Z,10.2,1001.75,11.29,3.49,0.93,MAC000002,0.623
10.4,215,12.37,2013-11-02T10:00:00Z,10.36,1001.33,12.37,4.27,0.88,MAC000002,0.256
10.8,213,13.01,2013-11-02T11:00:00Z,10.59,1000.43,13.01,5.34,0.85,MAC000002,0.23100000000000004
12.13,213,13.9,2013-11-02T12:00:00Z,10.25,999.25,13.9,6.33,0.79,MAC000002,0.23
12.13,212,15.08,2013-11-02T13:00:00Z,9.74,997.78,15.08,7.43,0.7,MAC000002,0.836
10.56,212,14.06,2013-11-02T14:00:00Z,9.87,996.65,14.06,7.54,0.76,MAC000002,0.898
11.7,227,12.97,2013-11-02T15:00:00Z,8.87,996.51,12.97,7.85,0.76,MAC000002,2.304
11.7,225,12.51,2013-11-02T16:00:00Z,7.19,996.26,12.51,8.21,0.7,MAC000002,1.2559998999999997
11.91,225,12,2013-11-02T17:00:00Z,6.08,995.98,12,8.69,0.67,MAC000002,0.41600000000000004
12.57,228,11.48,2013-11-02T18:00:00Z,5.57,995.92,11.48,9.25,0.67,MAC000002,0.625
11.6,229,11.53,2013-11-02T19:00:00Z,5.4,995.64,11.53,9.91,0.66,MAC000002,1.663
12.81,236,11.53,2013-11-02T20:00:00Z,4.84,995.77,11.53,9.7,0.63,MAC000002,0.358
12.81,239,10.98,2013-11-02T21:00:00Z,4.81,996.28,10.98,9.07,0.66,MAC000002,0.515
12.81,244,10.39,2013-11-02T22:00:00Z,5.26,996.7,10.39,8.59,0.7,MAC000002,0.41400000000000003
12.68,248,10.27,2013-11-02T23:00:00Z,5.39,997,10.27,8.69,0.72,MAC000002,0.369
13.5,252,10.16,2013-11-03T00:00:00Z,5.03,997.53,10.16,8.45,0.7,MAC000002,0.384
14.03,257,9.58,2013-11-03T01:00:00Z,4.64,997.9,6.16,7.84,0.71,MAC000002,0.329
12.99,256,9.17,2013-11-03T02:00:00Z,4.14,998.48,5.65,7.77,0.71,MAC000002,0.22600000000000003
13.21,256,8.67,2013-11-03T03:00:00Z,3.61,998.82,5.1,7.44,0.71,MAC000002,0.21700000000000003
14,253,8.15,2013-11-03T04:00:00Z,3.23,999.15,4.54,7.07,0.71,MAC000002,0.21400000000000002
14.31,248,7.74,2013-11-03T05:00:00Z,3.01,999.49,4.12,6.75,0.72,MAC000002,0.21100000000000002
14.31,243,7.56,2013-11-03T06:00:00Z,3.28,999.8,3.99,6.44,0.74,MAC000002,0.21000000000000002
12.81,248,7.63,2013-11-03T07:00:00Z,3.42,1000.07,3.89,7.01,0.75,MAC000002,0.21500000000000002
12.5,247,7.79,2013-11-03T08:00:00Z,3.41,1000.65,4.01,7.32,0.74,MAC000002,0.216
12.23,249,8.82,2013-11-03T09:00:00Z,3.98,1001.34,5.23,7.63,0.72,MAC000002,0.257
12.13,251,9.82,2013-11-03T10:00:00Z,4.28,1001.7,6.28,8.65,0.68,MAC000002,0.731
12.13,256,10.56,2013-11-03T11:00:00Z,4.27,1001.8,10.56,8.65,0.65,MAC000002,0.85
12.13,252,11.05,2013-11-03T12:00:00Z,4.12,1001.8,11.05,8.71,0.62,MAC000002,1.8250000000000002
12.13,253,11.43,2013-11-03T13:00:00Z,4.16,1001.67,11.43,8.91,0.61,MAC000002,1.951
12.13,249,11.41,2013-11-03T14:00:00Z,4,1001.41,11.41,7.83,0.6,MAC000002,1.768
12.13,247,10.79,2013-11-03T15:00:00Z,4.24,1001.18,10.79,7.32,0.64,MAC000002,1.0830000000000002
12.73,232,9.74,2013-11-03T16:00:00Z,4.17,1000.82,7.06,5.57,0.68,MAC000002,0.592
15.11,223,9.15,2013-11-03T17:00:00Z,4.45,1000.22,6.76,4.44,0.72,MAC000002,1.182
15.63,205,9.11,2013-11-03T18:00:00Z,4.71,999.23,7.04,3.71,0.74,MAC000002,1.386
11.3,197,9.15,2013-11-03T19:00:00Z,5.62,997.91,7.08,3.74,0.79,MAC000002,0.44900000000000007
8.93,166,8.17,2013-11-03T20:00:00Z,6.16,996.17,6.9,2.19,0.87,MAC000002,0.453
7.66,112,7.66,2013-11-03T21:00:00Z,6.83,993.4,5.47,3.38,0.94,MAC000002,0.534
5.54,96,8.16,2013-11-03T22:00:00Z,7.39,990.33,5.54,4.39,0.95,MAC000002,0.548
4.26,83,8.22,2013-11-03T23:00:00Z,7.59,986.38,5.28,5.19,0.96,MAC000002,0.49400000000000005
6.69,69,8.86,2013-11-04T00:00:00Z,8.22,984.08,7.33,2.71,0.96,MAC000002,0.373
5.58,24,8.84,2013-11-04T01:00:00Z,8.28,983.07,8.24,1.57,0.96,MAC000002,0.22999999999999998
4.83,18,7.81,2013-11-04T02:00:00Z,7.24,982.87,5.91,2.95,0.96,MAC000002,0.22200000000000003
4.84,23,7.19,2013-11-04T03:00:00Z,6.33,982.61,4.51,4.09,0.94,MAC000002,0.221
5.49,23,6.51,2013-11-04T04:00:00Z,5.39,983.19,2.87,5.83,0.93,MAC000002,0.218
7.18,18,6.04,2013-11-04T05:00:00Z,4.94,984.18,2.11,6.29,0.93,MAC000002,0.21300000000000002
10.07,5,6.37,2013-11-04T06:00:00Z,5.21,985.47,2.72,5.78,0.92,MAC000002,0.20700000000000002
10.36,351,6.48,2013-11-04T07:00:00Z,5.11,986.98,3.09,5.23,0.91,MAC000002,0.23200000000000004
11.72,342,6.73,2013-11-04T08:00:00Z,4.99,988.73,3.39,5.25,0.89,MAC000002,0.557
12.68,329,6.45,2013-11-04T09:00:00Z,3.63,990.42,3.24,4.8,0.82,MAC000002,0.20600000000000002
12.38,321,7.42,2013-11-04T10:00:00Z,3.51,992,4.36,5.02,0.76,MAC000002,0.20400000000000001
12.13,315,8.47,2013-11-04T11:00:00Z,3.29,993.1,5.68,4.98,0.7,MAC000002,0.21100000000000002
12.13,301,9.48,2013-11-04T12:00:00Z,3.26,993.56,6.68,5.7,0.65,MAC000002,0.506
12.13,300,9.94,2013-11-04T13:00:00Z,3.59,993.99,7.21,5.89,0.65,MAC000002,0.227
12.13,295,9.77,2013-11-04T14:00:00Z,3.49,994.59,6.92,6.12,0.65,MAC000002,0.228
12.13,295,9.98,2013-11-04T15:00:00Z,3.98,995.35,7.22,6,0.66,MAC000002,0.224
13,289,9.14,2013-11-04T16:00:00Z,3.62,996.04,6.68,4.6,0.68,MAC000002,0.45399999999999996
15.16,280,7.72,2013-11-04T17:00:00Z,3.29,996.99,5.45,3.55,0.74,MAC000002,0.45
15.5,260,7.04,2013-11-04T18:00:00Z,3.29,997.72,4.76,3.32,0.77,MAC000002,1.25
15.5,256,6.62,2013-11-04T19:00:00Z,3.12,998.47,4.34,3.16,0.78,MAC000002,1.4229999999999998
15.05,245,5.63,2013-11-04T20:00:00Z,2.84,998.88,3.38,2.83,0.82,MAC000002,0.45300000000000007
14.31,239,5.41,2013-11-04T21:00:00Z,3.12,999.17,2.99,3.01,0.85,MAC000002,0.476
12.87,239,4.88,2013-11-04T22:00:00Z,2.79,999.02,2.43,2.9,0.86,MAC000002,0.457
13.23,226,4.78,2013-11-04T23:00:00Z,2.64,998.87,2.6,2.56,0.86,MAC000002,0.403
14.31,217,5.08,2013-11-05T00:00:00Z,2.97,998.76,3.24,2.23,0.86,MAC000002,0.352
12.26,205,4.63,2013-11-05T01:00:00Z,2.85,997.94,2.98,1.96,0.88,MAC000002,0.226
12.33,198,4.41,2013-11-05T02:00:00Z,2.42,997.57,3.26,1.5,0.87,MAC000002,0.22
12.26,167,5.23,2013-11-05T03:00:00Z,3.12,996.43,4.11,1.58,0.86,MAC000002,0.21700000000000003
9.01,134,5.27,2013-11-05T04:00:00Z,3.88,995.11,3.79,1.9,0.91,MAC000002,0.21500000000000002
8.47,129,5.83,2013-11-05T05:00:00Z,5.1,994.16,4.67,1.68,0.95,MAC000002,0.21000000000000002
9.4,190,6.56,2013-11-05T06:00:00Z,5.99,993.22,5.07,2.12,0.96,MAC000002,0.203
10.03,219,7.92,2013-11-05T07:00:00Z,7.06,992.36,5.66,3.59,0.94,MAC000002,0.258
10.28,238,8.66,2013-11-05T08:00:00Z,7.74,992.01,6.42,3.88,0.94,MAC000002,1.213
11.23,240,9.31,2013-11-05T09:00:00Z,8.05,991.99,7.03,4.27,0.92,MAC000002,1.09
9.72,237,9.38,2013-11-05T10:00:00Z,8.48,991.68,7.22,4.04,0.94,MAC000002,0.683
7.76,236,9.99,2013-11-05T11:00:00Z,8.8,990.98,7.81,4.39,0.92,MAC000002,1.098
12.13,259,10.79,2013-11-05T12:00:00Z,8.99,990.97,10.79,6.19,0.89,MAC000002,1.221
12.13,276,12.39,2013-11-05T13:00:00Z,8.31,990.88,12.39,8.03,0.76,MAC000002,0.8420000000000001
12.13,282,11.95,2013-11-05T14:00:00Z,6.82,991.58,11.95,8.3,0.71,MAC000002,0.21800000000000003
11.81,285,11.34,2013-11-05T15:00:00Z,5.68,993.02,11.34,8.28,0.68,MAC000002,0.20800000000000002
12.73,282,10.82,2013-11-05T16:00:00Z,4.84,994.21,10.82,7.06,0.67,MAC000002,0.41000000000000003
13.36,268,10.29,2013-11-05T17:00:00Z,5.27,995.05,10.29,5.64,0.71,MAC000002,1.0390000000000001
14.58,262,9.83,2013-11-05T18:00:00Z,5.51,996.1,7.11,5.75,0.74,MAC000002,2.665
16.09,259,9.82,2013-11-05T19:00:00Z,5.57,996.62,7.06,5.83,0.75,MAC000002,2.319
16.09,264,10.21,2013-11-05T20:00:00Z,5.55,997.47,10.21,5.85,0.73,MAC000002,2.209
14.31,262,9.73,2013-11-05T21:00:00Z,5.27,998,7.04,5.57,0.74,MAC000002,2.274
14,257,9.71,2013-11-05T22:00:00Z,5.77,998.79,7.1,5.34,0.76,MAC000002,1.7100000000000002
14.18,252,9.36,2013-11-05T23:00:00Z,5.63,998.91,6.72,5.16,0.78,MAC000002,0.619
14.24,254,9.69,2013-11-06T00:00:00Z,5.83,999.44,7.21,4.98,0.77,MAC000002,0.48
13.26,247,9.31,2013-11-06T01:00:00Z,5.88,999.24,6.77,4.9,0.79,MAC000002,0.21500000000000002
12.81,247,9.33,2013-11-06T02:00:00Z,6.14,999.48,6.86,4.75,0.8,MAC000002,0.21000000000000002
12.92,238,9.33,2013-11-06T03:00:00Z,6.43,999.6,7.19,3.99,0.82,MAC000002,0.21000000000000002
12.36,238,9.37,2013-11-06T04:00:00Z,6.8,1000.13,7.36,3.72,0.84,MAC000002,0.21200000000000002
11.07,240,9.71,2013-11-06T05:00:00Z,7.63,1000.33,7.61,4.07,0.87,MAC000002,0.22000000000000003
10.94,235,9.31,2013-11-06T06:00:00Z,7.74,1000.41,7.52,3.28,0.9,MAC000002,0.21900000000000003
9.98,221,9.41,2013-11-06T07:00:00Z,7.99,1000.33,7.98,2.71,0.91,MAC000002,0.222
9.45,221,9.8,2013-11-06T08:00:00Z,8.57,1000.19,8.68,2.36,0.92,MAC000002,0.653
9.41,210,10.34,2013-11-06T09:00:00Z,9.03,1000.12,10.34,1.91,0.92,MAC000002,0.736
5.01,204,10.88,2013-11-06T10:00:00Z,10.06,1000.18,10.88,2.07,0.95,MAC000002,0.491
4.72,197,11.2,2013-11-06T11:00:00Z,10.39,1000.17,11.2,1.95,0.95,MAC000002,0.9180000000000001
4.41,205,11.64,2013-11-06T12:00:00Z,10.85,999.82,11.64,2.1,0.95,MAC000002,0.5770000000000001
5.55,216,12.26,2013-11-06T13:00:00Z,11.53,999.54,12.26,3.08,0.95,MAC000002,0.22100000000000003
9.29,221,12.54,2013-11-06T14:00:00Z,11.54,999.29,12.54,3.08,0.94,MAC000002,0.22100000000000003
10.54,231,13.97,2013-11-06T15:00:00Z,12.02,999.07,13.97,5.61,0.88,MAC000002,0.219
11.3,228,14.69,2013-11-06T16:00:00Z,12.67,998.91,14.69,6.71,0.88,MAC000002,0.31
11.93,227,14.37,2013-11-06T17:00:00Z,12.33,998.82,14.37,6.9,0.88,MAC000002,0.515
11.57,228,14.73,2013-11-06T18:00:00Z,12.83,998.79,14.73,8.09,0.88,MAC000002,2.039
10.19,228,14.79,2013-11-06T19:00:00Z,12.59,998.67,14.79,8.49,0.87,MAC000002,0.466
11.46,230,14.83,2013-11-06T20:00:00Z,12.54,998.43,14.83,8.9,0.86,MAC000002,0.515
10.04,230,14.86,2013-11-06T21:00:00Z,12.69,998.37,14.86,8.94,0.87,MAC000002,0.54
11.97,232,14.87,2013-11-06T22:00:00Z,12.69,998.7,14.87,8.63,0.87,MAC000002,0.599
10.11,238,14.82,2013-11-06T23:00:00Z,12.89,999.11,14.82,7.65,0.88,MAC000002,0.509
11.81,243,14.7,2013-11-07T00:00:00Z,13.18,999.72,14.7,6.61,0.91,MAC000002,0.466
12.36,258,14.37,2013-11-07T01:00:00Z,12.9,1000.69,14.37,6.13,0.91,MAC000002,0.467
12.59,285,12.63,2013-11-07T02:00:00Z,10.62,1002.04,12.63,4.64,0.88,MAC000002,0.316
12.68,295,11.83,2013-11-07T03:00:00Z,9.8,1003.27,11.83,3.36,0.87,MAC000002,0.224
12.68,285,10.92,2013-11-07T04:00:00Z,9.11,1003.72,10.92,2.51,0.89,MAC000002,0.223
11.94,273,10.77,2013-11-07T05:00:00Z,8.92,1004.38,10.77,2.41,0.88,MAC000002,0.222
12.36,276,9.82,2013-11-07T06:00:00Z,8.04,1004.95,8.46,2.73,0.89,MAC000002,0.21200000000000002
12.1,273,9.31,2013-11-07T07:00:00Z,7.56,1005.66,7.93,2.6,0.89,MAC000002,0.20400000000000001
12.68,259,9.36,2013-11-07T08:00:00Z,7.58,1006.58,7.79,2.91,0.89,MAC000002,0.24900000000000003
13.57,262,10.14,2013-11-07T09:00:00Z,7.93,1007.42,10.14,2.95,0.86,MAC000002,0.625
12.86,256,10.74,2013-11-07T10:00:00Z,7.66,1007.96,10.74,3.47,0.81,MAC000002,0.579
12.86,259,10.98,2013-11-07T11:00:00Z,6.71,1008.2,10.98,3.46,0.75,MAC000002,0.46
12.86,251,11,2013-11-07T12:00:00Z,5.62,1008.01,11,3.61,0.69,MAC000002,0.21300000000000002
12.86,254,10.92,2013-11-07T13:00:00Z,5.33,1008.12,10.92,3.37,0.68,MAC000002,0.221
13.57,245,10.88,2013-11-07T14:00:00Z,4.89,1007.83,10.88,2.75,0.67,MAC000002,0.219
15.63,240,10.42,2013-11-07T15:00:00Z,4.87,1007.78,10.42,2.39,0.69,MAC000002,0.21700000000000003
16.09,223,9.68,2013-11-07T16:00:00Z,5.43,1007.86,8.96,1.84,0.75,MAC000002,0.20600000000000002
16.09,209,9.12,2013-11-07T17:00:00Z,5.66,1008.08,8.06,2.13,0.79,MAC000002,0.647
16.09,210,8.93,2013-11-07T18:00:00Z,6.23,1008.13,7.8,2.18,0.83,MAC000002,1.067
16.09,221,8.54,2013-11-07T19:00:00Z,6.17,1008.37,7.19,2.37,0.85,MAC000002,0.753
16.09,226,8.66,2013-11-07T20:00:00Z,6.27,1008.5,7.07,2.75,0.85,MAC000002,0.6040000000000001
16.09,235,8.63,2013-11-07T21:00:00Z,6.19,1008.61,6.89,2.97,0.85,MAC000002,1.505
16.09,237,8.53,2013-11-07T22:00:00Z,6.09,1008.62,6.9,2.76,0.85,MAC000002,1.426
15.5,221,7.37,2013-11-07T23:00:00Z,5.81,1008.61,6.25,1.87,0.9,MAC000002,2.65
16.09,227,7.27,2013-11-08T00:00:00Z,5.53,1008.44,5.79,2.24,0.89,MAC000002,1.6550000000000002
14.08,228,6.83,2013-11-08T01:00:00Z,5.33,1008.59,5.19,2.35,0.9,MAC000002,1.514
13.63,214,6.24,2013-11-08T02:00:00Z,5.06,1008.3,5.07,1.76,0.92,MAC000002,0.632
16.09,207,5.68,2013-11-08T03:00:00Z,4.68,1007.87,4.3,1.86,0.93,MAC000002,0.254
15.11,203,5.64,2013-11-08T04:00:00Z,4.74,1007.65,4.12,2,0.94,MAC000002,0.21100000000000002
14,199,5.29,2013-11-08T05:00:00Z,4.44,1007.59,3.63,2.07,0.94,MAC000002,0.20700000000000002
13.78,209,5.38,2013-11-08T06:00:00Z,4.1,1007.56,3.91,1.91,0.91,MAC000002,0.20700000000000002
10.64,164,5.88,2013-11-08T07:00:00Z,4.77,1007.36,5.88,0.98,0.93,MAC000002,0.21900000000000003
11.04,161,6.09,2013-11-08T08:00:00Z,5.19,1006.98,6.09,1.11,0.94,MAC000002,1.13
10.62,147,7.87,2013-11-08T09:00:00Z,6.79,1006.66,7.87,1.1,0.93,MAC000002,1.444
11.72,153,9.08,2013-11-08T10:00:00Z,7.42,1006.08,8.21,1.9,0.89,MAC000002,0.984
11.14,162,9.6,2013-11-08T11:00:00Z,7.59,1005.42,8.88,1.82,0.87,MAC000002,0.9440000000000001
10.56,156,10.56,2013-11-08T12:00:00Z,8.06,1004.65,10.56,1.5,0.85,MAC000002,0.972
11.62,164,11,2013-11-08T13:00:00Z,7.76,1003.47,11,1.88,0.8,MAC000002,1.178
10.25,165,10.04,2013-11-08T14:00:00Z,7.57,1002.66,10.04,0.82,0.85,MAC000002,1.141
7.48,227,9.16,2013-11-08T15:00:00Z,7.63,1002.34,7.63,2.79,0.9,MAC000002,0.907
10.46,241,8.64,2013-11-08T16:00:00Z,7.16,1002.15,7.53,2.1,0.9,MAC000002,0.362
10.57,259,8.13,2013-11-08T17:00:00Z,7.14,1002.14,6.37,2.85,0.93,MAC000002,0.515
11.75,279,8.14,2013-11-08T18:00:00Z,7.03,1002.5,5.7,4.04,0.93,MAC000002,0.91
11.57,282,7.89,2013-11-08T19:00:00Z,6.07,1003.35,5.16,4.53,0.88,MAC000002,2.463
11.44,270,7.02,2013-11-08T20:00:00Z,5.5,1004.2,3.67,5.44,0.9,MAC000002,1.909
11.59,263,6.93,2013-11-08T21:00:00Z,5.12,1005,3.66,5.23,0.88,MAC000002,1.6030000000000002
12.17,255,6.43,2013-11-08T22:00:00Z,5.01,1005.51,2.99,5.32,0.91,MAC000002,2.1790000000000003
12.92,254,6.04,2013-11-08T23:00:00Z,4.92,1006.29,2.54,5.22,0.93,MAC000002,0.765
